978-7-111-48787-6_2-1|程序员面试笔试宝典  第2版
978-7-111-39107-4_1-1|3ds Max实战应用宝典（案例版）
978-7-111-36370-5_1-1|C#编程新手自学手册
978-7-111-56178-1_8-2|SOLIDWORKS&reg;高级教程简编（2017版）
978-7-111-41459-9_2-1|Creo 2.0产品设计实例精解
978-7-111-45808-1_1-1|物联网技术综合实训教程
978-7-111-55770-8_2-1|UG NX 11.0基础教程   第2版
978-7-111-41648-7_5-1|UG NX 8.5数控加工教程
978-7-111-46819-6_3-1|Creo 3.0快速入门教程
978-7-111-56870-4_7-1|UG NX 11.0曲面设计教程
978-7-111-53989-6_1-1|Python即学即用
978-7-111-57313-5_1-1|SOLIDWORKS&reg;Simulation Premium 教程（2017版）
978-7-111-57417-0_1-8|UG NX 11.0模具设计实例精解
978-7-111-35477-2_1-6|Photoshop CS5图像处理案例教程
978-7-111-36687-4_1-1|云计算：应用开发实践
978-7-111-39103-6_4-1|SolidWorks工程图教程  （2012中文版）
978-7-111-57249-7_2-1|Creo 4.0钣金件设计从入门到精通  第2版
978-7-111-51929-4_2-1|UG NX 10.0实例宝典
978-7-111-44489-3_1-3|赢在电子商务——PHP+MySQL电商网站设计与制作
978-7-111-54909-3_1-1|Mastercam X9中文版完全自学一本通
978-7-111-42029-3_1-1|云连接与嵌入式传感系统
978-7-111-55813-2_1-1|HTML5 实战宝典
978-7-111-52603-2_1-1|SolidWorks 2015中文版新手从入门到精通
978-7-111-51678-1_6-1|UG NX 10.0模具设计教程
978-7-111-34957-0_2-1|AutoCAD 2012中文版入门·进阶·精通（第2版）
978-7-111-52481-6_1-1|经典实例学设计——AutoCAD 2016室内设计从入门到精通
978-7-111-43321-7_3-3|Pro/ENGINEER中文野火版5.0模具设计教程（修订版）
978-7-111-58092-8_5-1|CATIA V5-6R2016数控加工教程
978-7-111-58276-2_1-1|系统安装、维护及故障排除实战
978-7-111-54698-6_1-1|经典实例学设计——CATIA V5 从入门到精通
978-7-111-41554-1_1-1|9天练会电脑主板维修
978-7-111-38694-0_1-1|Creo1.0 工程图教程
978-7-111-43935-6_1-2|物联网RFID多领域应用解决方案
978-7-111-60016-9_1-2|无人机技术概论
978-7-111-46462-4_1-1|中文版AutoCAD 2014机械设计从入门到精通（实战案例版）
978-7-111-43911-0_2-4|Photoshop CS6平面广告设计经典 108例
978-7-111-48786-9_5-1|UG NX 8.0曲面设计教程（典藏版）
978-7-111-59062-0_2-1|人因工程学 第2版
978-7-111-52146-4_8-1|AutoCAD快速自学宝典（2016中文版）    
978-7-111-57294-7_3-1|钣金展开实用技术手册（UG NX 11.0版）
978-7-111-57465-1_7-1|UG NX 11.0模具设计教程
978-7-111-50865-6_1-1|新手案例学——UG NX 10.0中文版从入门到精通
978-7-111-58229-8_1-1|计算机控制技术
978-7-111-41615-9_4-2|UG NX 8.0 数控加工实例精解
978-7-111-44234-9_1-1|JSP开发案例教程
978-7-111-41438-4_1-1|Excel公式、函数与图表实战技巧精粹
978-7-111-47795-2_2-1|AutoCAD和TArch2014建筑绘图实例教程
978-7-111-42626-4_1-1|完美软件开发：方法与逻辑
978-7-111-40982-3_2-2|Dreamweaver CS6中文版标准实例教程
978-7-111-42368-3_2-7|UG NX 6.0快速入门教程（修订版）
978-7-111-48312-0_1-1|UG NX 9.0中文版从入门到精通
978-7-111-38505-9_2-1|CATIA V5R20工程图教程
978-7-111-50520-4_1-1|UG NX 10.0快速入门及应用技巧
978-7-111-53493-8_1-1|CATIA V5-6 R2015三维设计入门与提高
978-7-111-57077-6_4-1|UG NX 11.0基础应用与范例解析 第4版 
978-7-111-54487-6_7-1|SOLIDWORKS&reg;高级教程简编（2016版）
978-7-111-46494-5_1-2|SolidWorks 2014高级应用教程
978-7-111-53870-7_1-1|Excel 2016办公应用从入门到精通
978-7-111-37363-6_1-1|零基础轻松学修电脑主板
978-7-111-40955-7_1-1|24小时零基础过关——Word 2003 中文字处理一本通
978-7-111-50870-0_1-1|经典实例学设计——AutoCAD 2016 从入门到精通
978-7-111-51975-1_1-1|职场秒杀——Word/Excel/PPT高效商务办公一本通
978-7-111-55398-4_1-1|Java程序员面试笔试真题与解析
978-7-111-56935-0_1-2|人工智能中的深度结构学习
978-7-111-47060-1_1-1|计算机网络仿真OPNET实用指南
978-7-111-38504-2_1-1|SolidWorks 2012中文版曲面·钣金·焊接设计完全自学手册
978-7-111-52315-4_1-2|AutoCAD 2016中文版新手从入门到精通
978-7-111-44717-7_1-2|Excel 2010电子表格从入门到精通
978-7-111-55442-4_1-1|Spark内核机制解析及性能调优
978-7-111-50707-9_1-1|新工业革命：Creo综合建模与3D打印
978-7-111-49450-8_6-1|UG NX 10.0产品设计实例精解
978-7-111-47601-6_2-1|商业智能深入浅出 第2版——大数据时代下的架构规划与案例
978-7-111-51537-1_1-2|Word/Excel办公应用技巧大全
978-7-111-57972-4_1-1|逆向工程技术
978-7-111-51229-5_6-1|AutoCAD 2016中文版机械设计基础与实战  第6版 
978-7-111-48255-0_1-1|AutoCAD 2014中文版从入门到精通
978-7-111-56334-1_7-2|UG NX 11.0产品设计实例精解
978-7-111-36514-3_1-3|SolidWorks 2011机械设计完全实例教程
978-7-111-42365-2_2-1|Dreamweaver CS6中文版入门与提高实例教程
978-7-111-38635-3_1-1|SolidWorks2012中文版计算机辅助设计教程
978-7-111-35607-3_1-3|现场总线与工业以太网及其应用技术
978-7-111-47131-8_1-1|平板/笔记本电脑维修一线资料速查速用
